rank,layer,module_type,bits,params,behavior_drop_score,normalized_behavior_drop,neg_tts_drop,neg_match_drop,neg_bad_format_increase,overall_bad_format_increase,quant_neg_tts,quant_neg_match,quant_neg_bad_format,quant_overall_bad_format
1,27,mlp,4,41287680,0.3828125,1.0,0.15625,0.0625,0.15625,0.171875,0.15625,0.03125,0.84375,0.765625
2,17,mlp,4,41287680,0.234375,0.6122448979591837,0.09375,0.0,0.09375,0.1875,0.21875,0.125,0.78125,0.78125
3,25,mlp,4,41287680,0.109375,0.2857142857142857,0.03125,0.0,0.03125,0.125,0.28125,0.15625,0.71875,0.71875
4,18,mlp,4,41287680,0.1015625,0.2653061224489796,0.03125,0.0,0.03125,0.109375,0.28125,0.125,0.71875,0.703125
5,10,mlp,4,41287680,0.0703125,0.1836734693877551,0.03125,0.0,0.03125,0.046875,0.28125,0.125,0.71875,0.640625
6,12,mlp,4,41287680,0.0625,0.16326530612244897,0.03125,0.0,0.03125,0.03125,0.28125,0.125,0.71875,0.625
7,9,mlp,4,41287680,0.046875,0.12244897959183673,0.03125,0.0,0.03125,0.0,0.28125,0.09375,0.71875,0.59375
8,14,mlp,4,41287680,0.0390625,0.10204081632653061,0.0,0.0,0.0,0.078125,0.3125,0.125,0.6875,0.671875
9,16,mlp,4,41287680,0.03125,0.08163265306122448,0.0,0.0,0.0,0.0625,0.375,0.1875,0.625,0.65625
10,21,mlp,4,41287680,0.03125,0.08163265306122448,0.0,0.0,0.0,0.0625,0.3125,0.125,0.6875,0.65625
11,15,mlp,4,41287680,0.0234375,0.061224489795918366,0.0,0.0,0.0,0.046875,0.3125,0.125,0.6875,0.640625
12,0,mlp,4,41287680,0.0078125,0.02040816326530612,0.0,0.0,0.0,0.015625,0.34375,0.125,0.65625,0.609375
13,2,mlp,4,41287680,0.0078125,0.02040816326530612,0.0,0.0,0.0,0.015625,0.34375,0.1875,0.65625,0.609375
14,1,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.46875,0.25,0.53125,0.53125
15,3,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.15625,0.5625,0.578125
16,4,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.34375,0.09375,0.65625,0.59375
17,5,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.34375,0.125,0.65625,0.5625
18,6,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.09375,0.625,0.59375
19,7,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.09375,0.5625,0.53125
20,8,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.34375,0.125,0.65625,0.59375
21,11,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.34375,0.1875,0.65625,0.59375
22,13,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.09375,0.59375,0.546875
23,19,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.53125,0.21875,0.46875,0.453125
24,20,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.46875,0.1875,0.53125,0.515625
25,22,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.15625,0.59375,0.5625
26,23,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1875,0.5,0.484375
27,24,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.53125,0.1875,0.46875,0.5
28,26,mlp,4,41287680,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.25,0.5625,0.546875
