layer_name,score,normalized_score,rank
layers.16,163254.00956145633,0.049024056931054126,1
layers.10,160282.19157039397,0.048131640415380574,2
layers.17,156404.95180844225,0.046967331965402113,3
layers.9,153828.78916732536,0.04619372803174665,4
layers.15,153110.09140645358,0.045977908034186735,5
layers.11,152677.4704645545,0.0458479949389911,6
layers.12,150239.95333971753,0.04511602530088281,7
layers.13,148907.07004272164,0.04471576960848109,8
layers.8,147554.9828838219,0.044309747128349015,9
layers.7,145710.44846457557,0.04375584612081278,10
layers.14,145435.46243485156,0.043673269706226404,11
layers.18,134382.49372902495,0.04035413917738251,12
layers.19,129847.59213885607,0.03899233940088467,13
layers.6,127240.13170607673,0.03820933695552099,14
layers.0,121777.57695573289,0.03656896931132512,15
layers.20,119365.16417755492,0.03584453833596168,16
layers.4,111325.89688621147,0.03343040162695534,17
layers.5,104307.4309720259,0.031322804554944864,18
layers.21,103232.42088312579,0.030999986414420984,19
layers.3,101572.71745778015,0.030501588883901646,20
layers.2,97940.72850899899,0.029410927567366085,21
layers.1,90728.55495728448,0.027245161423271505,22
layers.22,78223.87723355286,0.023490092654795527,23
layers.27,71631.60907304997,0.02151047983870963,24
layers.23,67342.31762663263,0.020222435100158268,25
layers.26,67182.62578720771,0.020174480738434336,26
layers.25,61439.84504702513,0.018449963155646946,27
layers.24,56621.33108359345,0.017002996532891942,28
embed_tokens,7023.187659978867,0.0021090149798168875,29
other,1488.6293650269508,0.0004470251660976674,30
